,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
862,20230131,3039,碧,PRO Market,6100,小売業,14,小売 ,-,-
863,20230131,3040,ソリトンシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
864,20230131,3041,ビューティ花壇,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
865,20230131,3042,セキュアヴェイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
866,20230131,3045,カワサキ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
867,20230131,3046,ジンズホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
868,20230131,3048,ビックカメラ,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
869,20230131,3050,ＤＣＭホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
870,20230131,3053,ペッパーフードサービス,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
871,20230131,3054,ハイパー,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
872,20230131,3058,三洋堂ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
873,20230131,3059,ヒラキ,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
874,20230131,3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売 ,-,-
875,20230131,3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
876,20230131,3065,ライフフーズ,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
877,20230131,3067,東京一番フーズ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
878,20230131,3068,ＷＤＩ,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
879,20230131,3069,ＪＦＬＡホールディングス,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
880,20230131,3070,アマガサ,グロース（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
881,20230131,3071,ストリーム,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
882,20230131,3073,ＤＤホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
883,20230131,3075,銚子丸,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
884,20230131,3076,あい　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,6,TOPIX Small 1
885,20230131,3077,ホリイフードサービス,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
886,20230131,3079,ディーブイエックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
887,20230131,3080,ジェーソン,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
888,20230131,3082,きちりホールディングス,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
889,20230131,3083,シーズメン,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
890,20230131,3085,アークランドサービスホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
891,20230131,3086,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
892,20230131,3087,ドトール・日レスホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
893,20230131,3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
894,20230131,3089,テクノアルファ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
895,20230131,3091,ブロンコビリー,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
896,20230131,3092,ＺＯＺＯ,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
897,20230131,3093,トレジャー・ファクトリー,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
898,20230131,3094,スーパーバリュー,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
899,20230131,3096,オーシャンシステム,スタンダード（内国株式）,6100,小売業,14,小売 ,-,-
900,20230131,3097,物語コーポレーション,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
901,20230131,3099,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
902,20230131,3101,東洋紡,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,4,TOPIX Mid400
903,20230131,3103,ユニチカ,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,7,TOPIX Small 2
904,20230131,3104,富士紡ホールディングス,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,7,TOPIX Small 2
905,20230131,3105,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
906,20230131,3106,倉敷紡績,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,7,TOPIX Small 2
907,20230131,3107,ダイワボウホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,4,TOPIX Mid400
908,20230131,3109,シキボウ,プライム（内国株式）,3100,繊維製品,4,素材・化学 ,7,TOPIX Small 2
909,20230131,3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材 ,6,TOPIX Small 1
910,20230131,3111,オーミケンシ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学 ,-,-
911,20230131,3113,Ｏａｋ　キャピタル,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行） ,-,-
912,20230131,3116,トヨタ紡織,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機 ,4,TOPIX Mid400
913,20230131,3121,マーチャント・バンカーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他 ,-,-
914,20230131,3123,サイボー,スタンダード（内国株式）,3100,繊維製品,4,素材・化学 ,-,-
915,20230131,3131,シンデン・ハイテックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
916,20230131,3132,マクニカホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,6,TOPIX Small 1
917,20230131,3133,海帆,グロース（内国株式）,6100,小売業,14,小売 ,-,-
918,20230131,3134,Ｈａｍｅｅ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
919,20230131,3135,マーケットエンタープライズ,プライム（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
920,20230131,3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売 ,-,-
921,20230131,3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売 ,-,-
922,20230131,3139,ラクト・ジャパン,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
923,20230131,3140,ＢＲＵＮＯ,グロース（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
924,20230131,3141,ウエルシアホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,4,TOPIX Mid400
925,20230131,3143,オーウイル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,-,-
926,20230131,3148,クリエイトＳＤホールディングス,プライム（内国株式）,6100,小売業,14,小売 ,6,TOPIX Small 1
927,20230131,3150,グリムス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
928,20230131,3151,バイタルケーエスケー・ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
929,20230131,3153,八洲電機,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
930,20230131,3154,メディアスホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
931,20230131,3156,レスターホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
932,20230131,3157,ジューテックホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
933,20230131,3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,6100,小売業,14,小売 ,7,TOPIX Small 2
